Code,DisplayName,UserPrincipalName,Pw,MailNickname,GivenName,Surname,JobTitle,Department
1,Brooke1 Scott1,brooke1.scott1@MCSlabs.onmicrosoft.com,TGBlv)Lq4$,brooke1,Brooke1,Scott1,"Surveyor, hydrographic",miss
2,Luis2 Donaldson2,luis2.donaldson2@MCSlabs.onmicrosoft.com,bTVzVcNn^b,luis2,Luis2,Donaldson2,Investment analyst,already
3,Derek3 Newton3,derek3.newton3@MCSlabs.onmicrosoft.com,4eDzc2tpT),derek3,Derek3,Newton3,Furniture conservator/restorer,American
4,Laurie4 Golden4,laurie4.golden4@MCSlabs.onmicrosoft.com,0Uq4PkO&T!,laurie4,Laurie4,Golden4,"Accountant, chartered public finance",particular
5,Kyle5 Kemp5,kyle5.kemp5@MCSlabs.onmicrosoft.com,P@DP#aOy^5,kyle5,Kyle5,Kemp5,Maintenance engineer,likely
6,Susan6 Osborne6,susan6.osborne6@MCSlabs.onmicrosoft.com,VYRAfFDd0),susan6,Susan6,Osborne6,Senior tax professional/tax inspector,summer
7,Jessica7 Hodges7,jessica7.hodges7@MCSlabs.onmicrosoft.com,%@85*IBkt5,jessica7,Jessica7,Hodges7,Oncologist,wish
8,Judy8 Jimenez8,judy8.jimenez8@MCSlabs.onmicrosoft.com,#dBRX4n@Iz,judy8,Judy8,Jimenez8,Systems developer,TV
9,Derek9 Miller9,derek9.miller9@MCSlabs.onmicrosoft.com,eWK^c2sVjZ,derek9,Derek9,Miller9,"Investment banker, corporate",senior
10,John10 Jackson10,john10.jackson10@MCSlabs.onmicrosoft.com,*MU^$w^lC*,john10,John10,Jackson10,Therapeutic radiographer,through
11,Cheryl11 Pacheco11,cheryl11.pacheco11@MCSlabs.onmicrosoft.com,O0RyzSwa4$,cheryl11,Cheryl11,Pacheco11,Sport and exercise psychologist,treatment
12,Christopher12 Gates12,christopher12.gates12@MCSlabs.onmicrosoft.com,%LEX@D*2y),christopher12,Christopher12,Gates12,Contracting civil engineer,economy
13,Shannon13 Peterson13,shannon13.peterson13@MCSlabs.onmicrosoft.com,a&iCa32oiM,shannon13,Shannon13,Peterson13,Marine scientist,two
14,Travis14 Torres14,travis14.torres14@MCSlabs.onmicrosoft.com,b3aL(LBct5,travis14,Travis14,Torres14,"Engineer, manufacturing systems",page
15,Brenda15 Lopez15,brenda15.lopez15@MCSlabs.onmicrosoft.com,VBHs^!FpY5,brenda15,Brenda15,Lopez15,"Scientist, marine",statement
16,Carol16 White16,carol16.white16@MCSlabs.onmicrosoft.com,e8054DHadQ,carol16,Carol16,White16,"Optician, dispensing",single
17,Joshua17 Bailey17,joshua17.bailey17@MCSlabs.onmicrosoft.com,1QJOcM^)uX,joshua17,Joshua17,Bailey17,Civil Service administrator,our
18,Michael18 Weaver18,michael18.weaver18@MCSlabs.onmicrosoft.com,qF^GbCg2Z!,michael18,Michael18,Weaver18,Podiatrist,each
19,Rhonda19 Johnson19,rhonda19.johnson19@MCSlabs.onmicrosoft.com,#OcWlUly26,rhonda19,Rhonda19,Johnson19,Tourist information centre manager,senior
20,Brian20 Long20,brian20.long20@MCSlabs.onmicrosoft.com,WI0yi39Mxy,brian20,Brian20,Long20,"Engineer, maintenance (IT)",democratic
21,Monica21 Stout21,monica21.stout21@MCSlabs.onmicrosoft.com,qB2&Uap(Qr,monica21,Monica21,Stout21,Nature conservation officer,system
22,Michael22 Wagner22,michael22.wagner22@MCSlabs.onmicrosoft.com,SaXvi8^Qut,michael22,Michael22,Wagner22,IT technical support officer,attack
23,Douglas23 Turner23,douglas23.turner23@MCSlabs.onmicrosoft.com,FgCNL11Zlf,douglas23,Douglas23,Turner23,"Embryologist, clinical",have
24,Cynthia24 Kelly24,cynthia24.kelly24@MCSlabs.onmicrosoft.com,OTtJLiai)g,cynthia24,Cynthia24,Kelly24,"Embryologist, clinical",ready
25,Megan25 Larson25,megan25.larson25@MCSlabs.onmicrosoft.com,urzNkSesAy,megan25,Megan25,Larson25,"Engineer, chemical",event
26,Kimberly26 Wilson26,kimberly26.wilson26@MCSlabs.onmicrosoft.com,Vp8xR1F6(P,kimberly26,Kimberly26,Wilson26,Warehouse manager,market
27,Erin27 Werner27,erin27.werner27@MCSlabs.onmicrosoft.com,H4^I#TfbeB,erin27,Erin27,Werner27,IT technical support officer,partner
28,Jesus28 Maldonado28,jesus28.maldonado28@MCSlabs.onmicrosoft.com,6gst10)6Iw,jesus28,Jesus28,Maldonado28,Curator,kind
29,Jordan29 Brown29,jordan29.brown29@MCSlabs.onmicrosoft.com,9JpK&xf7wH,jordan29,Jordan29,Brown29,"Doctor, general practice",what
30,Lee30 Ramirez30,lee30.ramirez30@MCSlabs.onmicrosoft.com,KCSSk2x!9v,lee30,Lee30,Ramirez30,"Lecturer, higher education",kid
31,Mark31 Williams31,mark31.williams31@MCSlabs.onmicrosoft.com,LDT82FI0KF,mark31,Mark31,Williams31,Mudlogger,safe
32,Kathleen32 Lin32,kathleen32.lin32@MCSlabs.onmicrosoft.com,lH11QW(g56,kathleen32,Kathleen32,Lin32,Nutritional therapist,million
33,Philip33 Monroe33,philip33.monroe33@MCSlabs.onmicrosoft.com,ThfStw9XA*,philip33,Philip33,Monroe33,Prison officer,yourself
34,Thomas34 Hunt34,thomas34.hunt34@MCSlabs.onmicrosoft.com,!AiQp7qs@F,thomas34,Thomas34,Hunt34,Naval architect,down
35,Tiffany35 Greene35,tiffany35.greene35@MCSlabs.onmicrosoft.com,Im@vxizrRP,tiffany35,Tiffany35,Greene35,Geoscientist,mention
36,Kevin36 Solomon36,kevin36.solomon36@MCSlabs.onmicrosoft.com,#M(4OVTcub,kevin36,Kevin36,Solomon36,Prison officer,peace
37,Caroline37 Daniel37,caroline37.daniel37@MCSlabs.onmicrosoft.com,^VHjxVNSXw,caroline37,Caroline37,Daniel37,"Scientist, forensic",range
38,Judy38 Mendoza38,judy38.mendoza38@MCSlabs.onmicrosoft.com,ZNvbYn0JaI,judy38,Judy38,Mendoza38,Bookseller,risk
39,Kimberly39 Cooper39,kimberly39.cooper39@MCSlabs.onmicrosoft.com,NMAA%u24Uy,kimberly39,Kimberly39,Cooper39,Purchasing manager,side
40,Melanie40 Cunningham40,melanie40.cunningham40@MCSlabs.onmicrosoft.com,Ex@5ON5hdS,melanie40,Melanie40,Cunningham40,Geoscientist,east
41,Timothy41 Gomez41,timothy41.gomez41@MCSlabs.onmicrosoft.com,IXxGj%P&#6,timothy41,Timothy41,Gomez41,Advertising copywriter,deep
42,Marie42 Martinez42,marie42.martinez42@MCSlabs.onmicrosoft.com,3*3cA8&jW1,marie42,Marie42,Martinez42,Secondary school teacher,each
43,Melinda43 MD43,melinda43.md43@MCSlabs.onmicrosoft.com,jx@6FEsaV4,melinda43,Melinda43,MD43,Product designer,main
44,Brian44 Bryant44,brian44.bryant44@MCSlabs.onmicrosoft.com,pPz3oE7WCq,brian44,Brian44,Bryant44,Forest/woodland manager,out
45,Ms.45 Shaw45,ms.45.shaw45@MCSlabs.onmicrosoft.com,5)VsYDzh!8,ms.45,Ms.45,Shaw45,"Designer, furniture",suggest
46,Jacqueline46 Holloway46,jacqueline46.holloway46@MCSlabs.onmicrosoft.com,VeR6ZjWoxW,jacqueline46,Jacqueline46,Holloway46,Outdoor activities/education manager,political
47,Dawn47 Underwood47,dawn47.underwood47@MCSlabs.onmicrosoft.com,Z1w7*3UO9F,dawn47,Dawn47,Underwood47,Tax inspector,trouble
48,James48 Pierce48,james48.pierce48@MCSlabs.onmicrosoft.com,ZL@U#m#LNm,james48,James48,Pierce48,Advertising account executive,practice
